<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Athersys,ATHX,20130222,1.64,1.64,1.5,1.56,520800
Atlanticus Holdings Corp.,ATLC,20130222,3.27,3.34,3.26,3.34,3300
Ames National Corp.,ATLO,20130222,20.23,20.6,20,20.29,26100
Atmi Inc.,ATMI,20130222,22.04,22.15,21.9,22,121100
Atmel Corp.,ATML,20130222,6.73,6.93,6.7,6.77,5924100
Atlantic Tele-Network,ATNI,20130222,44.86,48.93,43.8,48.63,98400
Api Technologies,ATNY,20130222,2.7,2.8,2.7,2.78,97400
Atossa Genetics Inc.,ATOS,20130222,7.01,7.01,6.5,6.93,7200
Atricure,ATRC,20130222,8.28,8.57,8.15,8.54,108800
Atrion Corp.,ATRI,20130222,199.35,200.68,198.47,200.68,1600
Aetrium Inc.,ATRM,20130222,0.65,0.67,0.65,0.65,3200
Astronics Corp.,ATRO,20130222,27.68,27.75,27.57,27.7,31200
Antares Pharma,ATRS,20130222,3.38,3.47,3.38,3.46,633500
Air Transport Services Group Inc,ATSG,20130222,4.75,4.81,4.7,4.81,78900
Attunity Ltd,ATTU,20130222,7.24,7.39,7.22,7.39,8200
Activision Blizzard Inc,ATVI,20130222,14.31,14.56,14.23,14.51,8591600
Cross [A.T.] Company,ATX,20130222,12.35,12.57,12.33,12.54,9800
Auburn National Bancorporation,AUBN,20130222,21.07,22.6,21.07,22.6,3000
Audiocodes Ltd,AUDC,20130222,4.2,4.21,4.05,4.13,158400
Auxilium Pharmaceuticals,AUXL,20130222,16.58,16.79,16.44,16.66,399500
Aerovironment,AVAV,20130222,22.13,22.49,22.11,22.48,135100
Advocat,AVCA,20130222,5.53,5.53,5.25,5.26,3200
Aveo Pharmaceuticals,AVEO,20130222,6.76,6.8,6.6,6.62,473400
Avago Technologies,AVGO,20130222,33.97,34.47,33.71,34.09,1896300
Av Homes Inc,AVHI,20130222,14.16,14.28,14.15,14.26,5100
Avid Technology,AVID,20130222,7.64,7.67,7.56,7.66,85000
Avanir Pharmaceuticals Inc,AVNR,20130222,2.77,2.77,2.69,2.73,426800
